files,question,predicted_sources,recall@10
"['.github/workflows/release-assets.yml', '.github/workflows/sync-gitee.yml', '.github/workflows/sync-homebrew.yml']",What workflows support manual triggering in the repository?,"['.github/workflows/sync-gitee.yml', '.github/workflows/sync-homebrew.yml', '.git/index', 'electron/resources/extra/win/scrcpy/SDL2.dll', '.github/workflows/release-assets.yml', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/linux/scrcpy/scrcpy', 'develop.md', 'scripts/helpers/index.js']",1.0
['electron/configs/scrcpy/index.js'],How does the application determine the file path for the scrcpy executable based on the operating system and architecture?,"['electron/configs/scrcpy/index.js', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'electron/resources/extra/linux/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-x64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'develop.md', 'electron/exposes/scrcpy/helper.js', 'src/locales/languages/zh-CN.json']",1.0
['.nvmdrc'],What is the purpose of the configuration specified in the version management file?,"['src/locales/languages/zh-CN.json', 'src/locales/languages/ru-RU.json', 'src/locales/languages/zh-TW.json', 'README-RU.md', 'electron/resources/extra/win/android-platform-tools/fastboot.exe', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy-server', 'electron/resources/extra/mac-x64/scrcpy/scrcpy-server', 'electron/resources/extra/linux/scrcpy/scrcpy-server', 'electron/resources/extra/win/scrcpy/scrcpy-server', 'electron/resources/extra/mac/android-platform-tools/mke2fs']",0.0
['src/store/preference/model/video/index.js'],What parameters are available for configuring video preferences in the codebase?,"['src/locales/languages/zh-TW.json', 'src/locales/languages/zh-CN.json', 'src/locales/languages/en-US.json', 'src/locales/languages/ru-RU.json', 'src/store/preference/model/video/index.js', 'src/store/preference/model/input/index.js', 'src/store/preference/model/camera/index.js', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy']",1.0
['src/dicts/tasks/index.js'],How are scheduled task timer types and time units defined in the repository?,"['src/store/task/index.js', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac/android-platform-tools/lib64/libc++.dylib', 'electron/resources/extra/mac/android-platform-tools/sqlite3', 'electron/resources/extra/mac/android-platform-tools/etc1tool', 'electron/resources/extra/mac/android-platform-tools/fastboot', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/win/android-platform-tools/adb.exe', 'electron/resources/extra/linux/android-platform-tools/adb']",0.0
['.npmrc.CN'],What configuration should domestic users apply to resolve dependency installation issues?,"['.npmrc', '.npmrc.CN', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/win/android-platform-tools/adb.exe', '.git/objects/pack/pack-2dc78f5c5e41711a8fe347cab1396b86e0d15302.pack', 'electron/exposes/gnirehtet/index.js', 'src/locales/languages/zh-CN.json', 'src/locales/languages/zh-TW.json', 'develop.md', 'electron/resources/extra/win/gnirehtet/gnirehtet.exe']",1.0
['src/locales/languages/ru-RU.json'],What are the available localized string keys and their corresponding Russian translations in the project?,"['electron/resources/extra/mac/android-platform-tools/adb', 'electron/resources/extra/mac/android-platform-tools/sqlite3', 'electron/resources/extra/linux/android-platform-tools/adb', 'electron/resources/extra/linux/android-platform-tools/fastboot', 'electron/resources/extra/linux/android-platform-tools/lib64/libc++.so', 'electron/resources/extra/mac/android-platform-tools/lib64/libc++.dylib', 'electron/resources/extra/linux/android-platform-tools/sqlite3', 'electron/resources/extra/mac/android-platform-tools/fastboot']",0.0
['PRIVACY.md'],What is the privacy policy of the app described in the repository?,"['PRIVACY.md', 'electron/resources/extra/linux/android-platform-tools/NOTICE.txt', 'electron/resources/extra/mac/android-platform-tools/NOTICE.txt', 'electron/resources/extra/win/android-platform-tools/NOTICE.txt']",1.0
['src/plugins/element-plus/index.js'],How does the plugin integrate custom components with Element Plus features?,"['src/plugins/auto.js', 'src/plugins/element-plus/index.js', 'src/plugins/element-plus/auto.js', 'src/plugins/index.js', 'src/plugins/element-plus/expands/EleFormItemCol/index.vue', '.git/index', 'src/plugins/element-plus/expands/EleTooltipButton/index.vue', 'src/utils/modal/index.js', 'vite.config.js', 'src/composables/useMessageLoading/index.js']",1.0
['src/icons/svgo.config.js'],What configuration is used for optimizing SVG icons in the repository?,"['.git/index', 'src/icons/index.js', 'src/icons/svg/multi-screen.svg', 'src/icons/components/SvgIcon.vue', 'src/icons/svg/wifi.svg', 'src/components/ControlBar/index.vue', 'electron/configs/logo/index.js', 'electron-builder.json', 'src/locales/languages/en-US.json', 'electron/resources/extra/linux/scrcpy/scrcpy']",0.0
['.npmrc'],How is the configuration for resolving dependency installation issues specified in the project?,"['.npmrc.CN', '.npmrc', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/exposes/gnirehtet/index.js', 'electron/resources/extra/win/android-platform-tools/adb.exe', 'electron/helpers/process.js', 'electron/configs/gnirehtet/index.js', 'README-RU.md', 'vite.config.js', 'develop.md']",1.0
['LICENSE'],"What license terms and conditions govern the usage, reproduction, and distribution of the repository?","['electron/resources/extra/linux/android-platform-tools/NOTICE.txt', 'electron/resources/extra/mac/android-platform-tools/NOTICE.txt', 'electron/resources/extra/win/android-platform-tools/NOTICE.txt', 'LICENSE']",1.0
['electron/exposes/scrcpy/index.js'],How are ADB and scrcpy paths managed and utilized in the codebase?,"['electron/resources/extra/linux/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-x64/scrcpy/scrcpy.1', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'develop.md', 'electron/resources/extra/mac/android-platform-tools/adb', 'electron/exposes/index.js', 'electron/exposes/adb/index.js', 'src/locales/languages/zh-CN.json', 'electron/configs/scrcpy/index.js']",0.0
['electron/loading/index.js'],How does the code handle loading indicators in the Electron application?,"['electron/helpers/single.js', 'src/plugins/element-plus/expands/EleIconLoading/index.vue', 'src/plugins/element-plus/index.js', '.git/index', 'src/plugins/element-plus/expands/EleMessageLoading/index.vue', 'src/composables/useInstallAction/index.js', 'src/composables/useMessageLoading/index.js', 'electron/exposes/electron/index.js', 'src/composables/useFileActions/index.js', '.vscode/settings.json']",0.0
['src/store/theme/index.js'],How does the theme store handle changes to the system theme and update the application state accordingly?,"['src/store/theme/index.js', 'src/components/QuickBar/components/Search/index.vue', 'src/store/index.js', 'control/App.vue', 'electron/ipc/theme/index.js', 'electron/ipc/index.js', 'src/locales/languages/ru-RU.json', 'src/pages/preference/index.vue', 'electron/main.js', 'electron/helpers/process.js']",1.0
['vite.config.js'],How is the Vite configuration structured to optimize the development environment's build performance?,"['CHANGELOG.md', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'scripts/helpers/index.js', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/win/android-platform-tools/fastboot.exe', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/win/gnirehtet/gnirehtet.exe', 'develop.md', 'README-RU.md', 'electron/resources/extra/mac/android-platform-tools/adb']",0.0
['src/main.js'],How is the application bootstrap process initialized with a router in the codebase?,"['src/main.js', 'control/index.js', 'src/router/index.js', 'electron/exposes/index.js', 'electron/resources/extra/linux/android-platform-tools/lib64/libc++.so', 'electron/exposes/adb/index.js', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/win/gnirehtet/gnirehtet.exe', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/mac/android-platform-tools/sqlite3']",1.0
"['electron/configs/scrcpy/index.js', 'electron/configs/android-platform-tools/index.js', 'electron/configs/gnirehtet/index.js']","How does the application determine and validate the paths for external binaries (like scrcpy, adb, and gnirehtet) at startup, and which module or file manages this logic?","['electron/exposes/adb/helpers/uploader/index.js', 'src/locales/languages/zh-CN.json', 'electron/exposes/adb/index.js', 'electron/exposes/index.js', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/configs/scrcpy/index.js', 'electron/resources/extra/mac/android-platform-tools/fastboot', 'electron/helpers/process.js', 'electron/configs/gnirehtet/index.js', 'electron/resources/extra/mac/android-platform-tools/adb']",0.6666666666666666
"['src/utils/device/generateAdbPairingQR/index.js', 'src/pages/device/components/WirelessGroup/QrAction/index.vue', 'package.json']","Which parts of the source code implement the QR code scanning feature for wireless pairing, what libraries are used, and how is the scanned data processed to establish a connection?","['src/utils/device/generateAdbPairingQR/index.js', '.git/objects/pack/pack-2dc78f5c5e41711a8fe347cab1396b86e0d15302.pack', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/linux/android-platform-tools/adb', 'CHANGELOG.md', 'electron/resources/extra/mac/android-platform-tools/fastboot', 'electron/resources/extra/mac/android-platform-tools/adb', 'README.md', 'README-RU.md']",0.3333333333333333
"['electron/exposes/scrcpy/index.js', 'electron/exposes/scrcpy/helper.js', 'electron/preload.js', 'electron/exposes/index.js', 'electron/helpers/index.js', 'electron/configs/scrcpy/index.js', 'src/pages/device/components/MirrorAction/index.vue', 'src/components/QuickBar/components/Terminal/components/TerminalDialog/composables/scrcpy.js', 'src/store/preference/index.js', 'src/bootstrap/default/index.js']",How is the inter-process communication handled between the Electron front end and the underlying scrcpy process? Which IPC channels or events are defined in the code?,"['package.json', 'develop.md', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/win/scrcpy/avutil-59.dll', 'electron/configs/scrcpy/index.js', 'index.html', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/exposes/scrcpy/index.js', 'control/index.html']",0.2
"['src/store/preference/model/video/index.js', 'src/store/preference/model/audio/index.js', 'src/store/preference/model/window/index.js', 'src/store/preference/model/device/index.js', 'src/store/preference/model/input/index.js', 'src/store/preference/model/record/index.js', 'src/store/preference/model/common/index.js', 'src/pages/device/components/MirrorAction/index.vue']","Where in the codebase are the user preference configurations (for video, audio, window controls, etc.) defined and saved, and how are these settings applied to the mirroring process?","['src/locales/languages/zh-CN.json', 'src/locales/languages/ru-RU.json', 'src/locales/languages/zh-TW.json', 'src/locales/languages/en-US.json', 'README-RU.md', 'src/store/preference/model/device/index.js', 'src/store/preference/model/input/index.js', 'src/store/preference/model/camera/index.js', 'README.md']",0.25
"['src/store/preference/model/common/index.js', 'electron/configs/android-platform-tools/index.js', 'electron/configs/scrcpy/index.js', 'src/store/preference/model/video/index.js', 'src/utils/device/generateAdbPairingQR/index.js', 'src/pages/device/components/WirelessGroup/QrAction/index.vue']","What is the implementation strategy for the auto-connect and auto-mirroring features? In which module or function does the logic reside, and how does it interact with device detection?","['src/locales/languages/ru-RU.json', 'src/locales/languages/en-US.json', 'README-CN.md', 'README.md', 'electron/resources/extra/mac/android-platform-tools/adb', 'src/locales/languages/zh-CN.json', 'src/locales/languages/zh-TW.json', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/linux/scrcpy/scrcpy']",0.0
"['src/composables/useFileActions/index.js', 'src/composables/useInstallAction/index.js', 'src/composables/useShellAction/index.js', 'src/store/task/index.js']","How are batch processing operations (such as batch file management, batch app installation, and execution of scripts) implemented in the source code? Which parts handle the scheduling and execution of these tasks?","['electron/resources/extra/linux/android-platform-tools/NOTICE.txt', 'electron/resources/extra/mac/android-platform-tools/NOTICE.txt', 'electron/resources/extra/win/android-platform-tools/NOTICE.txt']",0.0
"['electron/resources/extra/linux/scrcpy/scrcpy.1', 'src/store/preference/model/input/index.js', 'src/components/PreferenceForm/components/SelectKeyboardInject/index.vue']","Which file or module is responsible for mapping user shortcuts (for device control actions like home, back, screenshot, etc.) to the underlying adb or scrcpy commands, and how can these mappings be customized?","['electron/resources/extra/linux/scrcpy/scrcpy.1', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy.1', 'electron/resources/extra/mac-x64/scrcpy/scrcpy.1', 'electron/resources/extra/linux/scrcpy/scrcpy', 'electron/resources/extra/mac-arm64/scrcpy/scrcpy', 'electron/resources/extra/mac-x64/scrcpy/scrcpy', 'electron/resources/extra/win/scrcpy/scrcpy.exe', 'src/locales/languages/zh-CN.json', 'README.md', 'src/locales/languages/en-US.json']",0.3333333333333333
